City,FAA,IATA,ICAO,Airport,Role,Enplanements
Lawton,LAW,LAW,KLAW,Lawton–Fort Sill Regional Airport,P-N,"51,088"
Latrobe,LBE,LBE,KLBE,Arnold Palmer Regional Airport,P-N,"151,704"
Las Vegas,LAS,LAS,KLAS,McCarran International Airport,P-L,"22,833,267"
Laredo,LRD,LRD,KLRD,Laredo International Airport,P-N,"101,115"
Laramie,LAR,LAR,KLAR,Laramie Regional Airport,P-N,"15,957"
Lansing,LAN,LAN,KLAN,Capital Region International Airport (was Lansing Capital City),P-N,"161,863"
"Lanai City, Lanai",LNY,LNY,PHNY,Lanai Airport,P-N,"43,275"
Lake Charles,LCH,LCH,KLCH,Lake Charles Regional Airport,P-N,"53,576"
Lafayette,LFT,LFT,KLFT,Lafayette Regional Airport,P-N,"206,667"
La Crosse,LSE,LSE,KLSE,La Crosse Regional Airport,P-N,"99,651"
Kotzebue,OTZ,OTZ,PAOT,Ralph Wien Memorial Airport,P-N,"64,481"
Kodiak,ADQ,ADQ,PADQ,Kodiak Airport,P-N,"79,682"
Knoxville,TYS,TYS,KTYS,McGhee Tyson Airport,P-S,"887,103"
King Salmon,AKN,AKN,PAKN,King Salmon Airport,P-N,"36,717"
Killeen,GRK,GRK,KGRK,Killeen-Fort Hood Regional Airport / Robert Gray Army Airfield,P-N,"157,161"
Key West,EYW,EYW,KEYW,Key West International Airport,P-S,"380,505"
Ketchikan,KTN,KTN,PAKT,Ketchikan International Airport,P-N,"127,881"
KENTUCKY,,,,,,
Kenai,ENA,ENA,PAEN,Kenai Municipal Airport,P-N,"92,485"
"Kaunakakai, Molokai",MKK,MKK,PHMK,Molokai Airport,P-N,"92,560"
Kansas City,MCI,MCI,KMCI,Kansas City International Airport (originally Mid-Continent International Airport),P-M,"5,391,557"
KANSAS,,,,,,
Kalispell,GPI,FCA,KGPI,Glacier Park International Airport,P-N,"247,816"
Kalamazoo,AZO,AZO,KAZO,Kalamazoo/Battle Creek International Airport,P-N,"154,242"
"Kailua-Kona, Hawaii",KOA,KOA,PHKO,Ellison Onizuka Kona International Airport at Keahole,P-S,"1,569,602"
"Kahului, Maui",OGG,OGG,PHOG,Kahului Airport,P-M,"3,352,813"
Juneau,JNU,JNU,PAJN,Juneau International Airport,P-N,"420,442"
Joplin,JLN,JLN,KJLN,Joplin Regional Airport,P-N,"27,930"
Jacksonville,JAX,JAX,KJAX,Jacksonville International Airport,P-M,"2,729,129"
Jacksonville,OAJ,OAJ,KOAJ,Albert J. Ellis Airport,P-N,"149,987"
Jackson Hole,JAC,JAC,KJAC,Jackson Hole Airport,P-N,"342,044"
Jackson,JAN,JAN,KJAN,Jackson–Evers International Airport,P-S,"491,464"
Ithaca,ITH,ITH,KITH,Ithaca Tompkins International Airport,P-N,"97,212"
Islip,ISP,ISP,KISP,Long Island MacArthur Airport,P-S,"648,593"
Iron Mountain,IMT,IMT,KIMT,Ford Airport,P-N,"12,604"
IOWA,,,,,,
International Falls,INL,INL,KINL,Falls International Airport,P-N,"13,831"
Indianapolis,IND,IND,KIND,Indianapolis International Airport,P-M,"4,216,766"
INDIANA,,,,,,
ILLINOIS,,,,,,
Idaho Falls,IDA,IDA,KIDA,Idaho Falls Regional Airport (Fanning Field),P-N,"146,213"
IDAHO,,,,,,
Hyannis,HYA,HYA,KHYA,Barnstable Municipal Airport (Boardman/Polando Field),P-N,"31,027"
Huntsville,HSV,HSV,KHSV,Huntsville International Airport (Carl T. Jones Field),P-S,"527,801"
Huntington,HTS,HTS,KHTS,Tri-State Airport (Milton J. Ferguson Field),P-N,"98,489"
Houston,IAH,IAH,KIAH,George Bush Intercontinental Airport,P-L,"20,062,072"
Houston,HOU,HOU,KHOU,William P. Hobby Airport,P-M,"6,285,181"
"Honolulu, Oahu",HNL,HNL,PHNL,Daniel K. Inouye International Airport,P-L,"9,656,340"
Homer,HOM,HOM,PAHO,Homer Airport,P-N,"44,117"
Hobbs,HOB,HOB,KHOB,Lea County Regional Airport,P-N,"14,707"
Hilton Head,HXD,HHH,KHXD,Hilton Head Airport,P-N,"30,956"
"Hilo, Hawaii",ITO,ITO,PHTO,Hilo International Airport,P-S,"640,757"
Hibbing,HIB,HIB,KHIB,Range Regional Airport (was Chisholm–Hibbing Airport),P-N,"12,654"
Helena,HLN,HLN,KHLN,Helena Regional Airport,P-N,"103,239"
Hayden,HDN,HDN,KHDN,Yampa Valley Airport (Yampa Valley Regional),P-N,"34,979"
HAWAII,,,,,,
Hartford,BDL,BDL,KBDL,Bradley International Airport,P-M,"2,982,194"
Harrisburg,MDT,MDT,KMDT,Harrisburg International Airport,P-S,"636,916"
Harlingen,HRL,HRL,KHRL,Valley International Airport,P-N,"263,760"
Hancock,CMX,CMX,KCMX,Houghton County Memorial Airport,P-N,"25,439"
Hagerstown,HGR,HGR,KHGR,Hagerstown Regional Airport (Richard A. Henson Field),P-N,"23,654"
Gunnison,GUC,GUC,KGUC,Gunnison-Crested Butte Regional Airport,P-N,"30,780"
Gulfport / Biloxi,GPT,GPT,KGPT,Gulfport–Biloxi International Airport,P-S,"305,157"
GUAM,,,,,,
Greenville,PGV,PGV,KPGV,Pitt-Greenville Airport,P-N,"47,457"
Greenville,GSP,GSP,KGSP,Greenville-Spartanburg International Airport (Roger Milliken Field),P-S,"991,276"
Greensboro,GSO,GSO,KGSO,Piedmont Triad International Airport,P-S,"848,261"
Green Bay,GRB,GRB,KGRB,Green Bay–Austin Straubel International Airport,P-N,"314,909"
Great Falls,GTF,GTF,KGTF,Great Falls International Airport,P-N,"176,730"
Grand Rapids,GRR,GRR,KGRR,Gerald R. Ford International Airport,P-S,"1,334,979"
Grand Junction,GJT,GJT,KGJT,Grand Junction Regional Airport (Walker Field),P-N,"218,319"
Grand Island,GRI,GRI,KGRI,Central Nebraska Regional Airport,P-N,"68,879"
Grand Forks,GFK,GFK,KGFK,Grand Forks International Airport,P-N,"132,557"
Grand Canyon,GCN,GCN,KGCN,Grand Canyon National Park Airport,P-N,"319,206"
Gillette,GCC,GCC,KGCC,Gillette–Campbell County Airport,P-N,"28,383"
GEORGIA,,,,,,
Garden City,GCK,GCK,KGCK,Garden City Regional Airport,P-N,"26,825"
Galena,GAL,GAL,PAGA,Edward G. Pitka Sr. Airport,P-N,"10,532"
Gainesville,GNV,GNV,KGNV,Gainesville Regional Airport,P-N,"206,330"
Friday Harbor,FHR,FRD,KFHR,Friday Harbor Airport,P-N,"12,831"
Fresno,FAT,FAT,KFAT,Fresno Yosemite International Airport,P-S,"761,298"
Fort Wayne,FWA,FWA,KFWA,Fort Wayne International Airport,P-N,"360,369"
Fort Walton Beach,VPS,VPS,KVPS,Destin–Fort Walton Beach Airport / Eglin Air Force Base,P-S,"440,002"
Fort Smith,FSM,FSM,KFSM,Fort Smith Regional Airport,P-N,"83,920"
Fort Myers,RSW,RSW,KRSW,Southwest Florida International Airport,P-M,"4,239,261"
Fort Lauderdale,FLL,FLL,KFLL,Fort Lauderdale–Hollywood International Airport,P-L,"14,263,270"
FLORIDA,,,,,,
Florence,FLO,FLO,KFLO,Florence Regional Airport,P-N,"45,300"
Flint,FNT,FNT,KFNT,Bishop International Airport,P-S,"398,508"
Flagstaff,FLG,FLG,KFLG,Flagstaff Pulliam Airport,P-N,"64,578"
Fayetteville,XNA,XNA,KXNA,Northwest Arkansas Regional Airport,P-S,"673,810"
Fayetteville,FAY,FAY,KFAY,Fayetteville Regional Airport (Grannis Field),P-N,"224,541"
Farmingdale,FRG,FRG,KFRG,Republic Airport,P-N,"10,910"
Fargo,FAR,FAR,KFAR,Hector International Airport,P-S,"402,976"
Fairbanks,FAI,FAI,PAFA,Fairbanks International Airport,P-S,"538,881"
Evansville,EVV,EVV,KEVV,Evansville Regional Airport,P-N,"204,352"
Eugene,EUG,EUG,KEUG,Eugene Airport (Mahlon Sweet Field),P-N,"483,224"
Escanaba,ESC,ESC,KESC,Delta County Airport,P-N,"16,822"
Erie,ERI,ERI,KERI,Erie International Airport (Tom Ridge Field),P-N,"95,924"
Elmira,ELM,ELM,KELM,Elmira/Corning Regional Airport,P-N,"126,472"
Elko,EKO,EKO,KEKO,Elko Regional Airport (J.C. Harris Field),P-N,"14,893"
El Paso,ELP,ELP,KELP,El Paso International Airport,P-M,"1,414,376"
Eau Claire,EAU,EAU,KEAU,Chippewa Valley Regional Airport,P-N,"23,950"
Eagle/Vail,EGE,EGE,KEGE,Eagle County Regional Airport,P-N,"163,840"
Durango,DRO,DRO,KDRO,Durango-La Plata County Airport,P-N,"187,789"
Duluth,DLH,DLH,KDLH,Duluth International Airport,P-N,"124,284"
Dubuque,DBQ,DBQ,KDBQ,Dubuque Regional Airport,P-N,"37,954"
Dothan,DHN,DHN,KDHN,Dothan Regional Airport,P-N,"49,411"
Dillingham,DLG,DLG,PADL,Dillingham Airport,P-N,"33,616"
Dickinson,DIK,DIK,KDIK,Dickinson Theodore Roosevelt Regional Airport,P-N,"16,822"
Detroit,DTW,DTW,KDTW,Detroit Metropolitan Airport,P-L,"16,847,135"
Des Moines,DSM,DSM,KDSM,Des Moines International Airport,P-S,"1,216,357"
Denver,DEN,DEN,KDEN,Denver International Airport,P-L,"28,267,394"
DELAWARE,,,,,,
Deadhorse,SCC,SCC,PASC,Deadhorse Airport (Prudhoe Bay Airport),P-N,"51,205"
Daytona Beach,DAB,DAB,KDAB,Daytona Beach International Airport,P-N,"342,495"
Dayton,DAY,DAY,KDAY,James M. Cox Dayton International Airport,P-S,"1,019,922"
Dallas,DAL,DAL,KDAL,Dallas Love Field,P-M,"7,554,596"
Dallas,DFW,DFW,KDFW,Dallas/Fort Worth International Airport,P-L,"31,283,579"
Culebra,CPX,CPX,TJCP,Benjamín Rivera Noriega Airport,P-N,"31,141"
Corpus Christi,CRP,CRP,KCRP,Corpus Christi International Airport,P-N,"325,815"
Cordova,CDV,CDV,PACV,Merle K. (Mudhole) Smith Airport,P-N,"18,649"
CONNECTICUT,,,,,,
